,scrapping_time,short_name,name,cap,price,volume,supply,percent_change
20172,20190421211356,IDH,indaHash,1360351.28713,$0.003401,"$121,072",399936258.54,0.157956
20173,20190421211356,TKS,Tokes,1351599.44527,$0.391121,"$1,960",3455702.35396,0.0250106
20174,20190421211356,MUSIC,Musicoin,1350469.41957,$0.000900,"$4,820",1501178422.0,-5.51844
20175,20190421211356,PTOY,Patientory,1340449.65385,$0.019149,"$17,034",70000000.0,2.40882
20176,20190421211356,INXT,Internxt,1322545.09731,$2.10,"$28,099",629609.543,-0.177026
20177,20190421211356,CAPP,Cappasity,1318778.70417,$0.002483,"$36,975",531039148.53,0.304369
20178,20190421211356,OXY,Oxycoin,1313561.62179,$0.001417,"$8,035",926887974.118,0.795965
20179,20190421211356,EXRN,EXRNchain,1312056.92394,$0.000014,"$53,320",92500000000.0,1.16258
20180,20190421211356,NPXSXEM,Pundi X NEM,1300445.66974,$0.000534,"$1,247,009",2434893062.0,0.315184
20181,20190421211356,PXG,PlayGame,1296332.70326,$0.001826,"$69,889",710087589.894,0.328668
20182,20190421211356,DATX,DATx,1291283.59559,$0.000928,"$170,683",1391302551.33,-3.54572
20183,20190421211356,BNTY,Bounty0x,1287973.59824,$0.005806,"$8,019",221830996.974,0.0364819
20184,20190421211356,PRA,ProChain,1287108.98133,$0.025969,"$86,243",49562749.45,0.300306
20185,20190421211356,KORE,Kore,1279746.10906,$0.592682,"$22,254",2159246.75394,-2.39293
20186,20190421211356,TSL,Energo,1279715.98646,$0.002124,"$91,987",602378919.746,-0.112494
20187,20190421211356,TOA,ToaCoin,1279117.53119,$0.000366,$572,3493665243.45,-11.6419
20188,20190421211356,DXT,Datawallet,1276350.68604,$0.003271,"$65,766",390222225.333,0.0856738
20189,20190421211356,ADB,adbank,1274810.88581,$0.001944,"$66,123",655665456.9,-0.504889
20190,20190421211356,NEXT,Next.exchange,1259475.76721,$0.327292,"$29,151",3848169.68223,-1.59752
20191,20190421211356,CBC,CashBet Coin,1259102.62457,$0.008404,"$28,738",149827053.745,-4.67046
20192,20190421211356,XNK,Ink Protocol,1259037.1217,$0.004499,"$29,379",279853244.973,1.21903
20193,20190421211356,WIX,Wixlar,1258684.35887,$0.016276,"$7,719",77336022.0,0.124381
20194,20190421211356,RED,RED,1256320.87547,$0.009664,"$48,447",130000009.3,0.697012
20195,20190421211356,AIT,AICHAIN,1254318.20509,$0.002344,"$132,739",535067071.156,3.10847
20196,20190421211356,PIRL,Pirl,1252822.6111,$0.029479,$916,42498920.6,-0.00848738
20197,20190421211356,MVP,Merculet,1250650.22127,$0.000418,"$500,575",2994880723.43,0.308097
20198,20190421211356,XCASH,X-CASH,1242926.36052,$0.000043,"$4,378",29036473775.0,0.486723
